team_id,team_name,rl_ids,team_crest,team_url
U9v7QSIL,Defensor Sp.,URUGUAY_LIGA_AUF_URUGUAYA___APERTURA___ROUND_1;liga-auf-uruguaya,https://static.flashscore.com/res/image/data/UgKB6TzS-vZdejfYC.png,https://www.flashscore.com/team/defensor-sp/U9v7QSIL/
dvF4FAJd,Wanderers,URUGUAY_LIGA_AUF_URUGUAYA___APERTURA___ROUND_1;URUGUAY: - Liga AUF Uruguaya - Apertura;liga-auf-uruguaya,https://static.flashscore.com/res/image/data/WCc1ByCa-zFwegNb8.png,https://www.flashscore.com/team/wanderers/dvF4FAJd/
OYSN90J0,Atl. San Luis,MEXICO_LIGA_MX___CLAUSURA___ROUND_5;liga-mx,https://static.flashscore.com/res/image/data/2oiKZ6ZA-dG08RUsN.png,https://www.flashscore.com/team/atletico-san-luis/OYSN90J0/
nw32pOQD,Necaxa,MEXICO_LIGA_MX___CLAUSURA___ROUND_5;liga-mx,https://static.flashscore.com/res/image/data/IZhXqhXg-8rY7at7H.png,https://www.flashscore.com/team/necaxa/nw32pOQD/
EBPEFrRQ,Santos Laguna,MEXICO_LIGA_MX___CLAUSURA___ROUND_5;liga-mx,https://static.flashscore.com/res/image/data/foFgA8Cr-bmPslben.png,https://www.flashscore.com/team/santos-laguna/EBPEFrRQ/
Iy4albIC,Tigres UANL,MEXICO_LIGA_MX___CLAUSURA___ROUND_5;liga-mx,https://static.flashscore.com/res/image/data/h2nbvbZA-IJnFXA9L.png,https://www.flashscore.com/team/tigres-uanl/Iy4albIC/
0AiC6BNB,Malacateco,GUATEMALA_LIGA_NACIONAL___CLAUSURA___ROUND_5;liga-nacional,https://static.flashscore.com/res/image/data/4AklNJh5-Kd6FFBdj.png,https://www.flashscore.com/team/malacateco/0AiC6BNB/
r5ooNVip,Municipal,GUATEMALA_LIGA_NACIONAL___CLAUSURA___ROUND_5;liga-nacional,https://static.flashscore.com/res/image/data/MZYiJsf5-vTLj5hDm.png,https://www.flashscore.com/team/municipal/r5ooNVip/
2ugBHosE,Correcaminos,MEXICO_LIGA_DE_EXPANSION_MX___CLAUSURA___ROUND_5;liga-de-expansion-mx,https://static.flashscore.com/res/image/data/hpAaJcyB-EcnnWKX6.png,https://www.flashscore.com/team/correcaminos/2ugBHosE/
IT36ygAH,Tepatitlan de Morelos,MEXICO_LIGA_DE_EXPANSION_MX___CLAUSURA___ROUND_5;liga-de-expansion-mx,https://static.flashscore.com/res/image/data/dpxlFqCa-2JfCVxx6.png,https://www.flashscore.com/team/tepatitlan-de-morelos/IT36ygAH/
IL2ZQcXn,Genesis,HONDURAS_LIGA_NACIONAL___CLAUSURA___ROUND_4;liga-nacional,https://static.flashscore.com/res/image/data/QFrVkVkl-SrRE3YiP.png,https://www.flashscore.com/team/genesis-fc/IL2ZQcXn/
SUJOXqvc,Juticalpa,HONDURAS_LIGA_NACIONAL___CLAUSURA___ROUND_4;liga-nacional,https://static.flashscore.com/res/image/data/MkKgIMWg-dtnFGY4p.png,https://www.flashscore.com/team/juticalpa/SUJOXqvc/
SpOmxEoR,Alebrijes Oaxaca,MEXICO_LIGA_DE_EXPANSION_MX___CLAUSURA___ROUND_5;liga-de-expansion-mx,https://static.flashscore.com/res/image/data/0KLjcaCr-2u4uDeVT.png,https://www.flashscore.com/team/alebrijes-de-oaxaca/SpOmxEoR/
bXXGgrk7,Venados,MEXICO_LIGA_DE_EXPANSION_MX___CLAUSURA___ROUND_5;liga-de-expansion-mx,https://static.flashscore.com/res/image/data/2qXUp9f5-YufGFV7m.png,https://www.flashscore.com/team/venados-fc/bXXGgrk7/
Or0HiKbh,Belize U17,NORTH_&_CENTRAL_AMERICA_WORLD_CUP_U17___QUALIFICATION___ROUND_1;world-cup-u17,https://static.flashscore.com/res/image/data/O6c7NgyS-86hNCjlr.png,https://www.flashscore.com/team/belize/Or0HiKbh/
80nz5t77,El Salvador U17,NORTH_&_CENTRAL_AMERICA_WORLD_CUP_U17___QUALIFICATION___ROUND_1;world-cup-u17,https://static.flashscore.com/res/image/data/K0mrZHdM-EukgbQAP.png,https://www.flashscore.com/team/el-salvador/80nz5t77/
KK3uaVTf,Honduras U17,NORTH_&_CENTRAL_AMERICA_WORLD_CUP_U17___QUALIFICATION___ROUND_1,https://static.flashscore.com/res/image/data/fuSfRhYA-80wlfMOL.png,https://www.flashscore.com/team/honduras/KK3uaVTf/
SrNHLvAc,Suriname U17,NORTH_&_CENTRAL_AMERICA_WORLD_CUP_U17___QUALIFICATION___ROUND_1,https://static.flashscore.com/res/image/data/0SnPVkzB-MekPOZFe.png,https://www.flashscore.com/team/suriname/SrNHLvAc/
p2ADRKlk,Ind. Medellin,COLOMBIA_PRIMERA_A___APERTURA___ROUND_5,https://static.flashscore.com/res/image/data/lMyrsdhl-plopiAtN.png,https://www.flashscore.com/team/ind-medellin/p2ADRKlk/
KK2QOIY7,Inter Bogotá,COLOMBIA_PRIMERA_A___APERTURA___ROUND_5,https://static.flashscore.com/res/image/data/xCeMUuZg-nouesssi.png,https://www.flashscore.com/team/inter-bogota/KK2QOIY7/
4AbEbdag,Pachuca W,MEXICO_LIGA_MX_WOMEN___CLAUSURA___ROUND_7,https://static.flashscore.com/res/image/data/I7pOemDa-K2yCsQaB.png,https://www.flashscore.com/team/pachuca/pAYgm4Ei/
pAYgm4Ei,Mazatlan FC W,MEXICO_LIGA_MX_WOMEN___CLAUSURA___ROUND_7,https://static.flashscore.com/res/image/data/vgqjZlXg-GAzQOL0c.png,https://www.flashscore.com/team/mazatlan-fc/4AbEbdag/
hjzxSMAK,Independiente,PANAMA_LPF___CLAUSURA___ROUND_4;PANAMA: - LPF - Clausura,,https://www.flashscore.com/team/independiente/hjzxSMAK/
COo0iase,Independiente,PANAMA_LPF___CLAUSURA___ROUND_4,https://static.flashscore.com/res/image/data/p4mDhpZg-nXJKIqpI.png,https://www.flashscore.com/team/independiente/hjzxSMAK/
jgPa69ID,Liberia,COSTA_RICA_PRIMERA_DIVISION___CLAUSURA___ROUND_6,https://static.flashscore.com/res/image/data/rF8lLADa-Asw8NYvF.png,https://www.flashscore.com/team/liberia/jgPa69ID/
